package,source_slug,csv_path,review_item,sample_size,reviewer,status,notes,reviewed_at
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-capitalisation-viagere.csv,Conferma fonte = Gazette du Palais 2022 (édition 2022),N/A,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-capitalisation-viagere.csv,Tabelle mortalità INSEE 2017-2019 ancora di riferimento,N/A,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-capitalisation-viagere.csv,Spot-check 12 righe (3 età estreme x 4 combinazioni sex/rate),12,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-capitalisation-temporaire.csv,Struttura cartesiana age x target_age completa per le 4 combinazioni sex/rate,N/A,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-capitalisation-temporaire.csv,Invariante age <= target_age sempre,N/A,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-capitalisation-temporaire.csv,Spot-check 16 righe (4 combinazioni age/target_age x 4 sex/rate),16,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-anticipated-payment-years.csv,Mortality table label coerente con p.4 PDF,N/A,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-anticipated-payment-years.csv,Spot-check 4 righe (2 età x 2 sex),4,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2022,legal_data/sources/france/gazette_2022/fr-gazette-2022-anticipated-payment-years.csv,Semantica years_value = anni medi vita residua (non altro),N/A,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-dfp-per-age-disability.csv,Tabella p.71 = riferimento operativo Mornet (non esempio),N/A,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-dfp-per-age-disability.csv,Conferma valore unico (amount_min == amount_mid == amount_max) come rappresentazione corretta,N/A,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-dfp-per-age-disability.csv,Griglia eta x invalidita coincide con p.71,N/A,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-dfp-per-age-disability.csv,Spot-check 9 righe (3 fasce eta estreme x 3 fasce invalidita),9,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-prejudice-affection-per-relation.csv,Le 11 relazioni coprono tassonomia attesa per il wizard MVP,N/A,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-prejudice-affection-per-relation.csv,Decisione su Majoration 40-60 percento (skipped) — applicare ex-post o ignorare,N/A,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-prejudice-affection-per-relation.csv,Spot-check 11 righe (tutte),11,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-manual-fourchettes-template.csv,Decisione: compilare almeno fr_souffrances_endurees e fr_prejudice_esthetique_permanent,N/A,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-manual-fourchettes-template.csv,QA strutturale qa_france_mornet_manual_fourchettes.py exit 0,N/A,,pending,,
F-france-legal-review-package,fr-referentiel-mornet-2024,legal_data/sources/france/mornet_2024/fr-mornet-2024-manual-fourchettes-review_tasks.csv,Decisione tassonomica per ognuno dei 29 head_of_loss_code,29,,pending,,
F-france-legal-review-package,fr-loi-badinter-1985,N/A,Download manuale PDF consolidato Legifrance + lettura testo,N/A,,pending,,
F-france-legal-review-package,fr-loi-badinter-1985,N/A,Decisione: fonte di citazione legale (no tabella) per MVP,N/A,,pending,,
F-france-legal-review-package,fr-nomenclature-dintilhac-2005,legal_data/sources/france/downloaded/fr-nomenclature-dintilhac-2005.html,Lettura testo + mapping vocabolario wizard FR alla nomenclatura Dintilhac,N/A,,pending,,
F-france-legal-review-package,fr-bareme-capitalisation-gazette-palais-2025-page,legal_data/sources/france/downloaded/fr-bareme-capitalisation-gazette-palais-2025-page.html,Decisione: scaricare PDF 2025 (registrazione richiesta) o restare su 2022 per MVP,N/A,,pending,,
