area,page_url,language,review_item,current_status,reviewer,status,notes,reviewed_at
home,/,it,Hero copy "Simulazioni indicative per risarcimenti e successioni" — accuratezza legale,delivered_pass1,,pending,,
home,/,it,Hero CTA "Avvia simulazione risarcimento Italia" — wording legale autorevole,delivered_pass1,,pending,,
home,/,it,Trust card "Trust by design" — 4 bullet (fonti citate / no fabricated / range / 4 lingue),delivered_pass1,,pending,,
home,/,it,Disclaimer banner "Notice" sopra il footer — visibile e non aggressivo,delivered_pass1,,pending,,
home,/fr/,fr,Hero translated "Cabinet Légal International" + "Lancer la simulation Italie" presente,delivered_pass1,,pending,,
home,/fr/,fr,Tutti i 4 bullet trust card tradotti in francese giuridico,delivered_pass1,,pending,,
home,/ar/,ar,RTL layout funzionante (dir="rtl" su <html>),delivered_pass1,,pending,,
home,/ar/,ar,Traduzione AR validata da native speaker giurista (ATTUALMENTE NON validata),needs_native_review,,pending,blocking before external client,
home,/ar/,ar,Marker arabi base (محاكاة إرشادية / ابدأ محاكاة التعويض / البلدان) presenti,delivered_pass1,,pending,,
countries_index,/countries/,it,Copy "Coverage map" + descrizione 3-state (in preparation / under review / available),delivered_pass1,,pending,,
countries_index,/countries/,it,Country names tradotti in IT (Italia/Francia/Belgio/Marocco/Tunisia),delivered_pass1,,pending,,
countries_index,/fr/countries/,fr,Country names tradotti in FR (Italie/France/Belgique/Maroc/Tunisie),delivered_pass1,,pending,,
countries_index,/ar/countries/,ar,Country names tradotti in AR (إيطاليا/فرنسا/بلجيكا/المغرب/تونس),needs_native_review,,pending,,
countries_index,/countries/,it,Badge "Available" (IT only) usato esattamente per i paesi con calculator approved,delivered_pass2,,pending,,
countries_index,/countries/,it,Badge "Legal sources under review" su FR/BE/MA/TN — colore non promette stime,delivered_pass2,,pending,,
countries_index,/countries/,it,Pexels country image per ogni country card — soggetto appropriato (no foto inadatte),delivered_pass1,,pending,,
countries_index,/countries/,it,Roadmap "Spain Germany Canada Romania Algeria Egypt" — neutra e corretta,delivered_pass1,,pending,,
country_landing,/countries/italy/,it,Copy hero "Italy — what we currently cover" — wording legale,delivered_pass1,,pending,,
